,ticker,date,time,title,compound
0,TSLA,2022-05-07,12:51PM  ,GMs Stock Is a BuyThough the Company Must Do More to Challenge Tesla,0.1477
1,TSLA,2022-05-07,11:33AM  ,Tesla Makes a Surprise Tweak That Will Delight Fans,0.7184
2,TSLA,2022-05-07,09:32AM  ,3 Money Lessons to Learn From Elon Musk,0.0
3,TSLA,2022-05-07,08:44AM  ,"Tesla Stock Vs. BYD Stock: BYD Sales Power Past Covid Shutdowns, Set To Seize Tesla's EV Crown",0.0
4,TSLA,2022-05-06,07:34PM  ,UPDATE 3-Musk aims to quintuple Twitter's revenue to $26.4 bln by 2028 -NYT,0.0
5,TSLA,2022-05-06,05:50PM  ,"Elon Musk Responds to Rumors About Trump, Love Life",0.6369
6,TSLA,2022-05-06,05:45PM  ,Toyota Is Trying to Catch Up in the Crowded EV Race. It May Be Too Late.,0.0
7,TSLA,2022-05-06,05:06PM  ,Musk Gives Us a Glimpse of His Twitter,0.0
8,TSLA,2022-05-06,05:04PM  ,Its Not Just Tesla. 8 Other Stocks to Play the Future of Transportation.,0.34
9,TSLA,2022-05-06,04:18PM  ,Used Car Prices Dropped. Heres Where the Deals Are.,0.0
10,TSLA,2022-05-06,04:07PM  ,Why Tesla Stock Was Slumping on Friday,0.0
11,TSLA,2022-05-06,02:39PM  ,"Wood and Musk Are Wrong on Index Investing, Bloomberg Pundits Say",-0.4767
12,TSLA,2022-05-06,02:10PM  ,Elons war of words with the Saudi prince is over as he secures further funding to buy Twitter. Its not his first takeover saga involving the kingdom,-0.3818
13,TSLA,2022-05-06,01:57PM  ,"Tesla, Echoing Musk, Says ESG Metrics Are Fundamentally Flawed",0.0
14,TSLA,2022-05-06,12:46PM  ,Cathie Woods Ark ETFs Dump Almost All Their Remaining Twitter Shares,-0.1027
15,TSLA,2022-05-06,12:25PM  ,Nio Stock Plunges On Delisting Fears: Are Fears Overblown?,-0.6808
16,TSLA,2022-05-06,12:16PM  ,Tesla Reaches Battery-Supply-Chain Deal With Miner Vale,0.0516
17,TSLA,2022-05-06,11:36AM  ,"Musk, Twitter are sued by shareholder over $44 bln takeover",0.0
18,TSLA,2022-05-06,11:20AM  ,Cathie Woods Latest Portfolio: 10 New Stock Picks in 2022,0.0
19,TSLA,2022-05-06,11:04AM  ,"Tesla Confirms Vale Nickel Deal, Lifts Veil on U.S. Race Data",0.0
20,TSLA,2022-05-06,10:30AM  ,"Cathie Wood Watch: Ark Buys Shopify, Coinbase, LatAm E-Commerce Firm",0.0
21,TSLA,2022-05-06,10:00AM  ,UPDATE 2-Brazil's Vale signs long-term deal to supply Tesla with nickel,0.0
